cohort_month,cohort_size,months_since_first,active_persons,orders,gmv,retention_rate,gmv_per_cohort_member,is_observable,analysis_start,analysis_end
2017-08-01,4184,10,10,10,1150.83,0.002390057361376673,0.27505497131931167,true,2017-01-01,2018-08-31
2017-08-01,4184,11,8,8,1695.64,0.0019120458891013384,0.4052676864244742,true,2017-01-01,2018-08-31
2017-08-01,4184,12,4,4,455.87,0.0009560229445506692,0.1089555449330784,true,2017-01-01,2018-08-31
2018-05-01,6624,0,6624,6677,971996.5300000238,1.0,146.7386065821292,true,2017-01-01,2018-08-31
2018-05-01,6624,1,35,36,7269.489999999998,0.005283816425120773,1.0974471618357484,true,2017-01-01,2018-08-31
2018-05-01,6624,2,18,18,2203.7600000000007,0.002717391304347826,0.33269323671497597,true,2017-01-01,2018-08-31
2018-05-01,6624,3,14,14,1567.0,0.002113526570048309,0.23656400966183574,true,2017-01-01,2018-08-31
2017-05-01,3596,0,3596,3670,501691.4200000063,1.0,139.5137430478327,true,2017-01-01,2018-08-31
2017-05-01,3596,1,18,19,1579.4900000000005,0.005005561735261402,0.43923526140155744,true,2017-01-01,2018-08-31
2017-05-01,3596,2,18,21,2663.6900000000005,0.005005561735261402,0.7407369299221358,true,2017-01-01,2018-08-31
2017-05-01,3596,3,14,14,1575.6,0.00389321468298109,0.43815350389321467,true,2017-01-01,2018-08-31
2017-05-01,3596,4,11,11,1088.5900000000001,0.0030589543937708566,0.3027224694104561,true,2017-01-01,2018-08-31
2017-05-01,3596,5,12,14,1375.93,0.0033370411568409346,0.38262791991101225,true,2017-01-01,2018-08-31
2017-05-01,3596,6,15,17,2682.06,0.004171301446051168,0.745845383759733,true,2017-01-01,2018-08-31
2017-05-01,3596,7,6,6,552.45,0.0016685205784204673,0.15362903225806454,true,2017-01-01,2018-08-31
2017-05-01,3596,8,9,9,1382.5700000000002,0.002502780867630701,0.3844744160177976,true,2017-01-01,2018-08-31
2017-05-01,3596,9,11,13,1086.02,0.0030589543937708566,0.30200778642936593,true,2017-01-01,2018-08-31
2017-05-01,3596,10,9,9,1183.8400000000001,0.002502780867630701,0.32921023359288104,true,2017-01-01,2018-08-31
2017-05-01,3596,11,12,12,1157.26,0.0033370411568409346,0.3218186874304783,true,2017-01-01,2018-08-31
2017-05-01,3596,12,9,10,989.38,0.002502780867630701,0.27513348164627366,true,2017-01-01,2018-08-31
2017-05-01,3596,13,1,1,46.9,0.00027808676307007786,0.013042269187986651,true,2017-01-01,2018-08-31
2017-05-01,3596,14,7,8,636.64,0.001946607341490545,0.17704115684093436,true,2017-01-01,2018-08-31
2017-05-01,3596,15,9,11,740.66,0.002502780867630701,0.20596774193548387,true,2017-01-01,2018-08-31
2018-08-01,6271,0,6271,6316,835391.0900000198,1.0,133.2149720937681,true,2017-01-01,2018-08-31
2017-01-01,765,0,765,800,120312.86999999976,1.0,157.27172549019576,true,2017-01-01,2018-08-31
2017-01-01,765,1,3,3,124.91999999999999,0.00392156862745098,0.1632941176470588,true,2017-01-01,2018-08-31
2017-01-01,765,2,2,2,82.89,0.00261437908496732,0.10835294117647058,true,2017-01-01,2018-08-31
2017-01-01,765,3,1,1,75.0,0.00130718954248366,0.09803921568627451,true,2017-01-01,2018-08-31
2017-01-01,765,4,3,3,199.70000000000002,0.00392156862745098,0.26104575163398697,true,2017-01-01,2018-08-31
