seller_id,seller_state,seller_region,cohort_month,last_active_month,active_months,lifespan_months,observable_months,months_silent_at_window_end,orders,gmv,gmv_per_active_month,activity_density,is_censored,churn_event,gmv_quartile,is_major_seller,analysis_start,analysis_end
de23c3b98a88888289c6f5cc1209054a,SP,Sudeste,2017-05-01,2018-08-01,15,16,16,0,164,26399.66999999999,1759.9779999999994,0.9375,true,0,1,true,2017-01-01,2018-08-31
9f505651f4a6abe901a56cdc21508025,SP,Sudeste,2017-10-01,2018-08-01,11,11,11,0,397,26361.81999999998,2396.529090909089,1.0,true,0,1,true,2017-01-01,2018-08-31
a3a38f4affed601eb87a97788c949667,SC,Sul,2017-01-01,2018-08-01,20,20,20,0,252,26243.43,1312.1715,1.0,true,0,1,true,2017-01-01,2018-08-31
16090f2ca825584b5a147ab24aa30c86,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,402,25716.440000000002,1285.8220000000001,1.0,true,0,1,true,2017-01-01,2018-08-31
a416b6a846a11724393025641d4edd5e,SP,Sudeste,2017-01-01,2018-08-01,20,20,20,0,162,25670.72,1283.536,1.0,true,0,1,true,2017-01-01,2018-08-31
b94cc9f10ddc85e4ba73a6f7974e7101,RJ,Sudeste,2017-11-01,2018-06-01,5,8,10,2,39,25346.09999999999,5069.219999999998,0.625,false,1,1,true,2017-01-01,2018-08-31
c003204e1ab016dfa150abc119207b24,SP,Sudeste,2017-10-01,2018-08-01,11,11,11,0,197,25108.090000000007,2282.553636363637,1.0,true,0,1,true,2017-01-01,2018-08-31
001cca7ae9ae17fb1caed9dfb1094831,ES,Sudeste,2017-02-01,2018-07-01,17,18,19,1,200,25080.03,1475.2958823529411,0.9444444444444444,true,0,1,true,2017-01-01,2018-08-31
1900267e848ceeba8fa32d80c1a5f5a8,SP,Sudeste,2017-05-01,2018-08-01,16,16,16,0,411,24982.53,1561.408125,1.0,true,0,1,true,2017-01-01,2018-08-31
1c68394e931a64f90ea236c5ea590300,PR,Sul,2017-07-01,2018-08-01,12,14,14,0,142,24832.75,2069.3958333333335,0.8571428571428571,true,0,1,true,2017-01-01,2018-08-31
b1b3948701c5c72445495bd161b83a4c,SP,Sudeste,2017-06-01,2017-08-01,3,3,15,12,18,24699.190000000002,8233.063333333334,1.0,false,1,1,true,2017-01-01,2018-08-31
f62d7bb4a613ec758a03342d46b580b2,MG,Sudeste,2018-01-01,2018-08-01,8,8,8,0,32,24665.0,3083.125,1.0,true,0,1,true,2017-01-01,2018-08-31
dc4a0fc896dc34b0d5bfec8438291c80,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,231,24180.770000000004,1272.672105263158,1.0,true,0,1,true,2017-01-01,2018-08-31
b37c4c02bda3161a7546a4e6d222d5b2,SP,Sudeste,2017-04-01,2018-07-01,4,16,17,1,4,24075.0,6018.75,0.25,true,0,1,true,2017-01-01,2018-08-31
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,Sudeste,2017-05-01,2018-07-01,14,15,16,1,52,23629.149999999998,1687.7964285714284,0.9333333333333333,true,0,1,true,2017-01-01,2018-08-31
710e3548e02bc1d2831dfc4f1b5b14d4,PR,Sul,2017-01-01,2018-08-01,19,20,20,0,134,23629.129999999997,1243.6384210526314,0.95,true,0,1,true,2017-01-01,2018-08-31
1a3df491d1c4f1589fc2b934ada68bf2,SC,Sul,2017-04-01,2018-08-01,17,17,17,0,167,23302.700000000004,1370.7470588235296,1.0,true,0,1,true,2017-01-01,2018-08-31
40db9e9aa57f7bb151bcda6b0f9bdbb7,PE,Nordeste,2018-02-01,2018-08-01,5,7,7,0,12,23168.0,4633.6,0.7142857142857143,true,0,1,true,2017-01-01,2018-08-31
612170e34b97004b3ba37eae81836b4c,RS,Sul,2018-06-01,2018-08-01,3,3,3,0,107,23065.019999999986,7688.339999999996,1.0,true,0,1,true,2017-01-01,2018-08-31
8444e55c1f13cd5c179851e5ca5ebd00,MG,Sudeste,2017-03-01,2018-07-01,17,17,18,1,99,22873.21,1345.4829411764706,1.0,true,0,1,true,2017-01-01,2018-08-31
7b0df942f46435babab05d49b744b2c4,SP,Sudeste,2017-02-01,2018-06-01,14,17,19,2,32,22600.629999999997,1614.330714285714,0.8235294117647058,false,1,1,true,2017-01-01,2018-08-31
7ad32824caee82087b3e2e5f33b1bf32,SP,Sudeste,2018-01-01,2018-08-01,8,8,8,0,151,22505.1,2813.1375,1.0,true,0,1,true,2017-01-01,2018-08-31
744dac408745240a2c2528fb1b6028f3,PR,Sul,2017-04-01,2018-08-01,16,17,17,0,79,22490.6,1405.6625,0.9411764705882353,true,0,1,true,2017-01-01,2018-08-31
897060da8b9a21f655304d50fd935913,SP,Sudeste,2017-02-01,2018-06-01,16,17,19,2,310,22222.620000000006,1388.9137500000004,0.9411764705882353,false,1,1,true,2017-01-01,2018-08-31
06e5eefc71ec47ae763c5c6f8db7064f,RS,Sul,2017-04-01,2018-08-01,17,17,17,0,92,22188.559999999998,1305.2094117647057,1.0,true,0,1,true,2017-01-01,2018-08-31
f45122a9ab94eb4f3f8953578bc0c560,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,187,22078.289999999997,1162.0152631578947,1.0,true,0,1,true,2017-01-01,2018-08-31
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,SP,Sudeste,2017-12-01,2018-06-01,7,7,9,2,20,21940.8,3134.4,1.0,false,1,1,true,2017-01-01,2018-08-31
05ff92fedb5be47920fea08e501238b9,RS,Sul,2017-01-01,2018-08-01,18,20,20,0,58,21903.78,1216.8766666666666,0.9,true,0,1,true,2017-01-01,2018-08-31
8f2ce03f928b567e3d56181ae20ae952,SP,Sudeste,2017-04-01,2018-08-01,16,17,17,0,153,21712.9,1357.05625,0.9411764705882353,true,0,1,true,2017-01-01,2018-08-31
59fb871bf6f4522a87ba567b42dafecf,SP,Sudeste,2017-01-01,2018-04-01,15,16,20,4,125,21598.579999999998,1439.9053333333331,0.9375,false,1,1,true,2017-01-01,2018-08-31
d2374cbcbb3ca4ab1086534108cc3ab7,SP,Sudeste,2017-02-01,2018-08-01,19,19,19,0,524,21223.920000000002,1117.0484210526317,1.0,true,0,1,true,2017-01-01,2018-08-31
48162d548f5b1b11b9d29d1e01f75a61,SP,Sudeste,2017-01-01,2018-08-01,19,20,20,0,68,20510.14,1079.481052631579,0.95,true,0,1,true,2017-01-01,2018-08-31
729f06993dac8e860d4f02d7088ca48a,SP,Sudeste,2017-03-01,2018-08-01,18,18,18,0,96,20485.079999999998,1138.06,1.0,true,0,1,true,2017-01-01,2018-08-31
00ee68308b45bc5e2660cd833c3f81cc,SP,Sudeste,2017-09-01,2018-08-01,12,12,12,0,135,20260.0,1688.3333333333333,1.0,true,0,1,true,2017-01-01,2018-08-31
bfd27a966d91cfaafdb25d076585f0da,SP,Sudeste,2017-02-01,2018-07-01,18,18,19,1,117,19921.0,1106.7222222222222,1.0,true,0,1,true,2017-01-01,2018-08-31
