category,n_items,n_orders,n_sellers,gmv,gmv_share,mean_price,median_price,freight_total,mean_freight,freight_to_price_ratio,mean_weight_g,mean_volume_litres,freight_per_kg,mean_route_distance_km,late_rate,mean_delivery_days,mean_handling_days,mean_transit_days,mean_photos,mean_description_length,mean_review_score,detractor_rate,suppress_small_n,analysis_start,analysis_end
computers_accessories,7806,6671,286,910555.0000000341,0.06724075564095829,116.64809121189266,81.99,146977.3100000014,18.828761209326338,0.1614150820104177,903.4103253907251,5.54200038431957,20.841870720464588,676.0285384525972,0.06486698990957934,13.216037137747081,3.171701123463259,9.557936261144828,1.7367409684857802,804.4121188829106,3.935704161834815,0.18464115449040072,false,2017-01-01,2018-08-31
toys,4090,3861,251,479481.5100000058,0.03540774478012517,117.23264303178625,79.9,76904.95999999999,18.803168704156477,0.1603919200137646,1850.4911980440097,18.89527726161379,10.16117705614144,559.8540154376145,0.06392009987515605,11.65725216164975,2.3900487729458577,8.89989407627041,2.7858190709046453,658.4635696821516,4.161655988171513,0.1343026121241991,false,2017-01-01,2018-08-31
market_place,298,273,55,27072.28000000007,0.001999176946064256,90.84657718120829,62.8,5183.070000000002,17.392852348993298,0.19145302870685396,1110.5268456375838,10.242859060402692,15.661802699607485,617.3624062837778,0.03741496598639456,11.78391809964727,3.027474844104309,8.320026769967246,2.5939597315436242,945.8322147651006,3.9966216216216215,0.14527027027027026,false,2017-01-01,2018-08-31
tablets_printing_image,83,79,6,7528.409999999994,0.0005559422299311161,90.70373493975897,99.0,1226.2,14.773493975903614,0.1628763576904022,307.09638554216866,5.93879518072289,48.10702656047707,716.3448306693897,0.060240963855421686,13.00234381972334,3.0442580042391794,9.501281514948683,1.8674698795180722,535.9759036144578,4.1234567901234565,0.13580246913580246,false,2017-01-01,2018-08-31
portable_kitchen_food_preparers,15,14,5,3968.53,0.0002930596789692025,264.5686666666667,34.9,309.76,20.650666666666666,0.07805409055746082,2838.3333333333335,18.703466666666667,7.275631238990017,537.1606763267811,0.07142857142857142,8.145603505291007,1.3682705026455024,6.224573412698413,2.2666666666666666,657.7333333333333,3.2666666666666666,0.3333333333333333,true,2017-01-01,2018-08-31
home_comfort_2,30,24,4,760.2699999999995,5.6142824201887206e-05,25.34233333333332,12.9,410.31000000000006,13.677000000000001,0.5396898470280299,827.9333333333333,30.789666666666662,16.519446010145746,464.50221838526465,0.13333333333333333,14.57352546296296,2.013320601851852,12.19026118827161,1.0333333333333334,355.73333333333335,3.6296296296296298,0.25925925925925924,false,2017-01-01,2018-08-31
la_cuisine,14,13,2,2054.99,0.00015175259093037506,146.785,137.0,333.55,23.825,0.1623122253636271,3685.714285714286,28.224928571428574,6.464147286821706,693.5043438945968,0.0,7.6113723544973535,1.2953811177248677,6.142365244708995,1.0714285714285714,435.64285714285717,4.0,0.23076923076923078,true,2017-01-01,2018-08-31
food_drink,278,227,34,15179.479999999974,0.0011209423982480723,54.60244604316537,38.745000000000005,4507.990000000001,16.215791366906476,0.296979211409087,1104.6546762589928,6.3982410071942475,14.67951181071594,514.9155471616581,0.040892193308550186,10.886025144568363,2.431648939832028,7.993392365413746,1.9640287769784173,1192.5287769784172,4.310469314079422,0.07942238267148015,false,2017-01-01,2018-08-31
signaling_and_security,199,140,46,21509.230000000014,0.0015883684988332565,108.08658291457293,75.0,6507.819999999994,32.7026130653266,0.302559412866011,3886.7236180904524,31.04392964824118,8.41392809952188,575.2953605531187,0.04060913705583756,10.4338662107539,2.4057822194021443,7.327076165632638,2.3165829145728645,750.7386934673367,4.086294416243655,0.116751269035533,false,2017-01-01,2018-08-31
luggage_accessories,1092,1034,73,140429.97999999864,0.010370178594202672,128.59888278388155,99.945,30445.229999999956,27.880247252747214,0.21680007360251885,5774.545787545788,39.50545512820498,4.828128181592697,552.2004220971878,0.04178272980501393,10.666089940334972,1.660929106915644,8.660755893428252,2.3131868131868134,577.1630036630037,4.315257352941177,0.09650735294117647,false,2017-01-01,2018-08-31
