dimension,dimension_value,purchase_month,n_orders,late_rate,severely_late_rate,mean_lateness_days_when_late,worst_lateness_days,mean_total_days,median_total_days,mean_payment_approval_days,mean_seller_handling_days,mean_carrier_transit_days,share_payment_approval,share_seller_handling,share_carrier_transit,mean_promised_days,mean_slack_days,mean_promise_utilisation,seller_sla_miss_rate,mean_review_score,detractor_rate,mean_route_distance_km,suppress_small_n,clamped_share,analysis_start,analysis_end
primary_category,small_appliances,2017-10-01,30,0.06666666666666667,0.03333333333333333,10.89076388888889,20.06045138888889,9.254040123456791,8.090040509259259,0.28082060185185187,2.97378125,5.999438271604939,0.030345729876407,0.32134950900657666,0.6483047611170163,25.895287808641978,16.641247685185185,0.3840182588261831,0.06666666666666667,4.392857142857143,0.07142857142857142,508.0953703007996,false,0.0,2017-01-01,2018-08-31
primary_category,furniture_decor,2018-06-01,303,0.0033003300330033004,0.0033003300330033004,57.49635416666667,57.49635416666667,9.755141906551767,8.990613425925925,0.407455575418653,2.768641975308642,6.579044355824471,0.041768287875443094,0.2838136033110048,0.674418108813552,29.354874404107083,19.599732497555312,0.3478634730271248,0.11221122112211221,4.178807947019868,0.1291390728476821,568.3944920826641,false,0.009900990099009901,2017-01-01,2018-08-31
primary_category,musical_instruments,2017-06-01,17,0.058823529411764705,0.0,0.8470601851851852,0.8470601851851852,13.800667211328978,11.906550925925925,0.28812363834422655,3.270994008714597,10.241549564270153,0.020877515118088323,0.23701709190041445,0.7421053929814971,25.005819716775598,11.205152505446623,0.5699855830826678,0.058823529411764705,3.764705882352941,0.23529411764705882,574.4632867573948,true,0.0,2017-01-01,2018-08-31
primary_category,fixed_telephony,2018-05-01,11,0.09090909090909091,0.0,0.6421527777777778,0.6421527777777778,8.860628156565657,5.155925925925926,0.4585753367003367,1.3942939814814814,7.007758838383839,0.05175426940363544,0.15735836747063134,0.7908873631257332,24.289611742424242,15.428983585858587,0.3490429437856094,0.0,4.2727272727272725,0.09090909090909091,403.9678347255254,true,0.0,2017-01-01,2018-08-31
primary_category,books_imported,2017-06-01,1,0.0,0.0,,-13.435995370370371,11.085729166666667,11.085729166666667,0.010046296296296296,3.1881944444444446,7.887488425925926,0.0009062368514742531,0.2875944736256887,0.711499289522837,24.521724537037038,13.435995370370371,0.45207787690148143,0.0,5.0,0.0,242.01662990421568,true,0.0,2017-01-01,2018-08-31
primary_category,pet_shop,2018-04-01,149,0.04697986577181208,0.026845637583892617,8.673816137566137,15.970520833333333,11.691461906537407,10.097835648148148,0.471598154362416,2.7588590604026844,8.46100469177231,0.04033697052878535,0.2359721207199964,0.7236909087512183,24.212217872234653,12.520755965697242,0.4871625785880653,0.11409395973154363,4.22972972972973,0.11486486486486487,524.545536020507,false,0.040268456375838924,2017-01-01,2018-08-31
primary_category,musical_instruments,2017-10-01,19,0.05263157894736842,0.05263157894736842,28.822569444444444,28.822569444444444,13.856765960038986,8.407766203703703,0.3475810185185185,4.906346856725146,8.602838084795323,0.025083848534419542,0.3540758984365023,0.6208402530290782,24.660755969785573,10.80399000974659,0.5210340432145001,0.15789473684210525,4.2631578947368425,0.10526315789473684,657.1989447755228,true,0.0,2017-01-01,2018-08-31
primary_category,pet_shop,2017-02-01,36,0.0,0.0,,-5.41943287037037,12.603318544238684,10.170283564814815,0.34747556584362144,1.7390461033950617,10.516796875,0.027570164526426404,0.13798319048200416,0.8344466449915694,30.581749614197534,17.978431069958845,0.40705499582709476,0.1111111111111111,4.361111111111111,0.08333333333333333,694.2971649467925,false,0.027777777777777776,2017-01-01,2018-08-31
primary_category,fashion_bags_accessories,2018-04-01,91,0.02197802197802198,0.02197802197802198,14.184305555555556,17.798449074074075,9.146238171550673,7.109976851851852,0.6893552859177859,1.4836331145706145,6.973249771062271,0.07537036243622236,0.16221238576373923,0.7624172518000383,23.170934065934063,14.024695894383392,0.3840718203287333,0.02197802197802198,4.49438202247191,0.056179775280898875,604.6112468238503,false,0.06593406593406594,2017-01-01,2018-08-31
primary_category,drinks,2018-06-01,30,0.03333333333333333,0.0,6.776087962962963,6.776087962962963,6.294144290123457,4.853622685185185,0.3375640432098766,1.444287422839506,4.512292824074075,0.053631443394071825,0.22946525472983348,0.7169033018760947,24.244089120370372,17.949944830246913,0.29683638897019066,0.03333333333333333,4.1,0.13333333333333333,268.78424620582285,false,0.03333333333333333,2017-01-01,2018-08-31
